url_path,views_total,views_unique
/AnthonyMichaelTDM/arco-leftwm,8,3
/AnthonyMichaelTDM/arco-leftwm/tree/master/installation-scripts,2,2
/AnthonyMichaelTDM/arco-leftwm/compare/master...arcolinux:master,2,1
/AnthonyMichaelTDM/arco-leftwm/pulls,2,1
/AnthonyMichaelTDM/arco-leftwm/blob/master/installation-scripts/40-build-the-iso-local-again.sh,1,1
/AnthonyMichaelTDM/arco-leftwm/pull/1,1,1
/AnthonyMichaelTDM/arco-leftwm/pull/1/commits,1,1
/AnthonyMichaelTDM/arco-leftwm/pull/1/files,1,1
/AnthonyMichaelTDM/arco-leftwm/pull/2,1,1
/AnthonyMichaelTDM/arco-leftwm/tree/master/archiso,1,1
