time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-16 00:00:00+00:00,1,1,0,0
2026-01-17 00:00:00+00:00,1,1,1,1
2026-01-18 00:00:00+00:00,0,0,1,1
2026-01-19 00:00:00+00:00,1,1,1,1
2026-01-20 00:00:00+00:00,67,7,0,0
2026-01-21 00:00:00+00:00,154,36,2,2
2026-01-22 00:00:00+00:00,106,21,0,0
2026-01-23 00:00:00+00:00,199,34,3,2
2026-01-24 00:00:00+00:00,26,7,6,4
2026-01-25 00:00:00+00:00,249,40,1,1
2026-01-26 00:00:00+00:00,68,16,4,3
2026-01-27 00:00:00+00:00,121,27,2,1
2026-01-28 00:00:00+00:00,92,26,1,1
2026-01-29 00:00:00+00:00,103,25,0,0
