referrer,views_total,views_unique
DuckDuckGo,27,1
github.com,24,3
rust-digger.code-maven.com,2,1
t66y-com.zproxy.org,1,1
lib.rs,1,1
search.brave.com,1,1
linkedin.com,1,1
