time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-06 00:00:00+00:00,5,5,295,67
2022-11-07 00:00:00+00:00,3,3,141,39
2022-11-08 00:00:00+00:00,5,5,145,42
2022-11-09 00:00:00+00:00,7,7,114,36
2022-11-10 00:00:00+00:00,4,4,176,54
2022-11-11 00:00:00+00:00,7,6,166,49
2022-11-12 00:00:00+00:00,8,7,132,53
2022-11-13 00:00:00+00:00,3,3,164,55
2022-11-14 00:00:00+00:00,7,6,111,47
2022-11-15 00:00:00+00:00,10,4,187,55
2022-11-16 00:00:00+00:00,7,6,90,33
2022-11-17 00:00:00+00:00,4,4,127,47
2022-11-18 00:00:00+00:00,4,3,81,31
2022-11-19 00:00:00+00:00,2,2,66,32
2022-11-20 00:00:00+00:00,1,1,94,36
2022-11-21 00:00:00+00:00,5,3,102,29
2022-11-22 00:00:00+00:00,2,1,56,22
2022-11-23 00:00:00+00:00,4,3,38,24
2022-11-24 00:00:00+00:00,3,2,75,27
2022-11-25 00:00:00+00:00,0,0,84,33
2022-11-26 00:00:00+00:00,3,3,69,32
2022-11-27 00:00:00+00:00,2,2,55,22
2022-11-28 00:00:00+00:00,1,1,92,24
2022-11-29 00:00:00+00:00,1,1,49,22
2022-11-30 00:00:00+00:00,4,4,72,24
2022-12-01 00:00:00+00:00,2,2,43,20
2022-12-02 00:00:00+00:00,3,2,37,19
2022-12-03 00:00:00+00:00,5,4,41,22
2022-12-04 00:00:00+00:00,1,1,51,20
2022-12-05 00:00:00+00:00,1,1,60,16
2022-12-06 00:00:00+00:00,2,1,31,15
2022-12-07 00:00:00+00:00,4,3,77,18
2022-12-08 00:00:00+00:00,0,0,42,18
2022-12-09 00:00:00+00:00,1,1,41,17
2022-12-10 00:00:00+00:00,0,0,45,17
2022-12-11 00:00:00+00:00,4,4,48,17
2022-12-12 00:00:00+00:00,0,0,56,13
2022-12-13 00:00:00+00:00,3,3,31,11
2022-12-14 00:00:00+00:00,0,0,23,10
2022-12-15 00:00:00+00:00,0,0,21,12
2022-12-16 00:00:00+00:00,2,2,38,18
2022-12-17 00:00:00+00:00,2,2,40,20
2022-12-18 00:00:00+00:00,1,1,31,22
2022-12-19 00:00:00+00:00,3,3,59,24
2022-12-20 00:00:00+00:00,6,5,43,17
2022-12-21 00:00:00+00:00,1,1,22,15
2022-12-22 00:00:00+00:00,4,4,42,15
2022-12-23 00:00:00+00:00,1,1,23,17
2022-12-24 00:00:00+00:00,0,0,74,14
2022-12-25 00:00:00+00:00,3,3,31,13
2022-12-26 00:00:00+00:00,2,2,36,19
2022-12-27 00:00:00+00:00,4,4,56,25
2022-12-28 00:00:00+00:00,6,6,36,18
2022-12-29 00:00:00+00:00,2,2,42,18
2022-12-30 00:00:00+00:00,3,3,58,17
2022-12-31 00:00:00+00:00,4,4,20,15
2023-01-01 00:00:00+00:00,5,5,21,11
2023-01-02 00:00:00+00:00,1,1,70,23
2023-01-03 00:00:00+00:00,9,5,27,18
2023-01-04 00:00:00+00:00,9,7,44,24
2023-01-05 00:00:00+00:00,1,1,58,19
2023-01-06 00:00:00+00:00,2,2,45,17
2023-01-07 00:00:00+00:00,1,1,42,23
2023-01-08 00:00:00+00:00,1,1,53,18
2023-01-09 00:00:00+00:00,0,0,75,19
2023-01-10 00:00:00+00:00,4,2,38,17
2023-01-11 00:00:00+00:00,4,4,43,14
2023-01-12 00:00:00+00:00,5,5,31,14
2023-01-13 00:00:00+00:00,0,0,38,21
2023-01-14 00:00:00+00:00,1,1,28,17
2023-01-15 00:00:00+00:00,4,3,44,17
2023-01-16 00:00:00+00:00,0,0,31,11
2023-01-17 00:00:00+00:00,0,0,42,21
2023-01-18 00:00:00+00:00,0,0,16,10
2023-01-19 00:00:00+00:00,3,2,37,16
2023-01-20 00:00:00+00:00,0,0,19,13
2023-01-21 00:00:00+00:00,2,2,32,15
2023-01-22 00:00:00+00:00,1,1,23,12
2023-01-23 00:00:00+00:00,2,2,34,11
2023-01-24 00:00:00+00:00,5,4,23,13
2023-01-25 00:00:00+00:00,0,0,44,21
2023-01-26 00:00:00+00:00,4,2,29,14
2023-01-27 00:00:00+00:00,3,3,35,19
2023-01-28 00:00:00+00:00,0,0,49,16
2023-01-29 00:00:00+00:00,0,0,19,14
2023-01-30 00:00:00+00:00,1,1,33,17
2023-01-31 00:00:00+00:00,1,1,24,14
2023-02-01 00:00:00+00:00,2,1,26,12
2023-02-02 00:00:00+00:00,2,2,24,11
2023-02-03 00:00:00+00:00,5,5,76,14
2023-02-04 00:00:00+00:00,1,1,34,13
2023-02-05 00:00:00+00:00,0,0,10,7
2023-02-06 00:00:00+00:00,2,2,43,16
2023-02-07 00:00:00+00:00,0,0,32,9
2023-02-08 00:00:00+00:00,0,0,26,11
2023-02-09 00:00:00+00:00,0,0,26,8
2023-02-10 00:00:00+00:00,1,1,22,8
2023-02-11 00:00:00+00:00,3,2,54,12
2023-02-12 00:00:00+00:00,1,1,24,9
2023-02-13 00:00:00+00:00,2,2,22,9
2023-02-14 00:00:00+00:00,3,3,8,7
2023-02-15 00:00:00+00:00,2,2,10,7
2023-02-16 00:00:00+00:00,1,1,13,8
2023-02-17 00:00:00+00:00,2,1,16,7
2023-02-18 00:00:00+00:00,2,2,22,13
2023-02-19 00:00:00+00:00,1,1,67,10
2023-02-20 00:00:00+00:00,1,1,45,13
2023-02-21 00:00:00+00:00,0,0,23,10
2023-02-22 00:00:00+00:00,0,0,13,11
2023-02-23 00:00:00+00:00,0,0,43,9
2023-02-24 00:00:00+00:00,4,3,40,13
2023-02-25 00:00:00+00:00,5,5,50,22
2023-02-26 00:00:00+00:00,1,1,49,18
2023-02-27 00:00:00+00:00,0,0,27,11
2023-02-28 00:00:00+00:00,1,1,37,17
2023-03-01 00:00:00+00:00,3,3,42,13
2023-03-02 00:00:00+00:00,2,2,25,10
2023-03-03 00:00:00+00:00,1,1,49,16
2023-03-04 00:00:00+00:00,3,1,57,20
2023-03-05 00:00:00+00:00,2,2,58,19
2023-03-06 00:00:00+00:00,1,1,66,24
2023-03-07 00:00:00+00:00,3,2,35,16
2023-03-08 00:00:00+00:00,1,1,27,15
2023-03-09 00:00:00+00:00,5,1,15,9
2023-03-10 00:00:00+00:00,1,1,30,14
2023-03-11 00:00:00+00:00,4,3,51,19
2023-03-12 00:00:00+00:00,4,4,34,17
2023-03-13 00:00:00+00:00,4,3,66,22
2023-03-14 00:00:00+00:00,1,1,52,22
2023-03-15 00:00:00+00:00,0,0,19,11
2023-03-16 00:00:00+00:00,4,4,26,16
2023-03-17 00:00:00+00:00,1,1,57,21
2023-03-18 00:00:00+00:00,4,4,25,17
2023-03-19 00:00:00+00:00,7,3,62,23
2023-03-20 00:00:00+00:00,0,0,37,22
2023-03-21 00:00:00+00:00,3,3,30,16
2023-03-22 00:00:00+00:00,2,2,54,19
2023-03-23 00:00:00+00:00,1,1,37,17
2023-03-24 00:00:00+00:00,1,1,59,13
2023-03-25 00:00:00+00:00,0,0,39,24
2023-03-26 00:00:00+00:00,2,2,69,24
2023-03-27 00:00:00+00:00,1,1,49,20
2023-03-28 00:00:00+00:00,1,1,84,22
2023-03-29 00:00:00+00:00,3,2,36,18
2023-03-30 00:00:00+00:00,1,1,20,13
2023-03-31 00:00:00+00:00,4,4,17,13
2023-04-01 00:00:00+00:00,1,1,24,15
2023-04-02 00:00:00+00:00,1,1,40,19
2023-04-03 00:00:00+00:00,1,1,14,9
2023-04-04 00:00:00+00:00,0,0,24,14
2023-04-05 00:00:00+00:00,1,1,22,10
2023-04-06 00:00:00+00:00,2,2,18,11
2023-04-07 00:00:00+00:00,3,3,28,13
2023-04-08 00:00:00+00:00,3,2,36,19
2023-04-09 00:00:00+00:00,3,3,50,22
2023-04-10 00:00:00+00:00,2,2,24,17
2023-04-11 00:00:00+00:00,0,0,48,21
2023-04-12 00:00:00+00:00,1,1,24,15
2023-04-13 00:00:00+00:00,3,2,23,12
2023-04-14 00:00:00+00:00,1,1,23,17
2023-04-15 00:00:00+00:00,4,4,18,12
2023-04-16 00:00:00+00:00,0,0,12,8
2023-04-17 00:00:00+00:00,2,2,48,16
2023-04-18 00:00:00+00:00,1,1,47,21
2023-04-19 00:00:00+00:00,4,3,32,16
2023-04-20 00:00:00+00:00,2,2,24,11
2023-04-21 00:00:00+00:00,0,0,19,12
2023-04-22 00:00:00+00:00,0,0,22,10
2023-04-23 00:00:00+00:00,1,1,35,16
2023-04-24 00:00:00+00:00,0,0,29,18
2023-04-25 00:00:00+00:00,1,1,30,17
2023-04-26 00:00:00+00:00,0,0,44,21
2023-04-27 00:00:00+00:00,0,0,27,13
2023-04-28 00:00:00+00:00,2,2,44,22
2023-04-29 00:00:00+00:00,0,0,43,21
2023-04-30 00:00:00+00:00,1,1,52,18
2023-05-01 00:00:00+00:00,1,1,38,21
2023-05-02 00:00:00+00:00,4,4,38,14
2023-05-03 00:00:00+00:00,1,1,66,16
2023-05-04 00:00:00+00:00,1,1,30,14
2023-05-05 00:00:00+00:00,2,2,71,25
2023-05-06 00:00:00+00:00,4,3,48,21
2023-05-07 00:00:00+00:00,1,1,46,19
2023-05-08 00:00:00+00:00,0,0,39,19
2023-05-09 00:00:00+00:00,5,5,78,18
2023-05-10 00:00:00+00:00,2,2,36,17
2023-05-11 00:00:00+00:00,1,1,31,17
2023-05-12 00:00:00+00:00,2,2,22,14
2023-05-13 00:00:00+00:00,2,2,48,18
2023-05-14 00:00:00+00:00,2,2,35,16
2023-05-15 00:00:00+00:00,0,0,28,8
2023-05-16 00:00:00+00:00,4,3,34,12
2023-05-17 00:00:00+00:00,4,4,41,16
2023-05-18 00:00:00+00:00,2,2,36,14
2023-05-19 00:00:00+00:00,0,0,26,15
2023-05-20 00:00:00+00:00,4,3,39,18
2023-05-21 00:00:00+00:00,6,4,39,15
2023-05-22 00:00:00+00:00,2,2,23,15
2023-05-23 00:00:00+00:00,0,0,38,16
2023-05-24 00:00:00+00:00,1,1,40,14
2023-05-25 00:00:00+00:00,8,6,18,11
2023-05-26 00:00:00+00:00,1,1,15,6
2023-05-27 00:00:00+00:00,0,0,25,14
2023-05-28 00:00:00+00:00,0,0,47,15
2023-05-29 00:00:00+00:00,5,5,22,10
2023-05-30 00:00:00+00:00,3,3,27,9
2023-05-31 00:00:00+00:00,6,5,42,17
2023-06-01 00:00:00+00:00,2,2,62,17
2023-06-02 00:00:00+00:00,3,3,40,15
2023-06-03 00:00:00+00:00,8,8,46,36
