time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,4,4,67,32
2026-03-25 00:00:00+00:00,3,2,98,31
2026-03-26 00:00:00+00:00,17,13,80,33
2026-03-27 00:00:00+00:00,6,5,96,35
2026-03-28 00:00:00+00:00,6,6,79,39
2026-03-29 00:00:00+00:00,3,3,106,44
2026-03-30 00:00:00+00:00,3,3,63,31
2026-03-31 00:00:00+00:00,3,3,78,30
2026-04-01 00:00:00+00:00,6,5,74,26
2026-04-02 00:00:00+00:00,52,22,108,27
2026-04-03 00:00:00+00:00,4,4,78,26
2026-04-04 00:00:00+00:00,1,1,77,33
2026-04-05 00:00:00+00:00,5,5,65,27
2026-04-06 00:00:00+00:00,2,2,74,29
