time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-12 00:00:00+00:00,1.0,1.0,95,39
2024-08-13 00:00:00+00:00,1.0,1.0,110,42
2024-08-14 00:00:00+00:00,1.0,1.0,98,36
2024-08-15 00:00:00+00:00,,,64,34
2024-08-16 00:00:00+00:00,1.0,1.0,92,27
2024-08-17 00:00:00+00:00,,,91,38
2024-08-18 00:00:00+00:00,,,67,37
2024-08-19 00:00:00+00:00,,,109,31
2024-08-20 00:00:00+00:00,,,94,35
2024-08-21 00:00:00+00:00,1.0,1.0,150,56
2024-08-22 00:00:00+00:00,,,74,28
2024-08-23 00:00:00+00:00,,,93,35
2024-08-24 00:00:00+00:00,,,85,33
2024-08-25 00:00:00+00:00,,,90,43
