url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,265,155
/AnthonyMichaelTDM/DRG-Save-Editor/releases,181,55
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.10.0,68,39
/AnthonyMichaelTDM/DRG-Save-Editor/issues,24,18
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,13,13
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src,7,5
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,7,3
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/.github,5,4
/AnthonyMichaelTDM/DRG-Save-Editor/pulls,4,4
/AnthonyMichaelTDM/DRG-Save-Editor/issues/121,4,3
