url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,333,224
/AnthonyMichaelTDM/DRG-Save-Editor/releases,114,84
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,65,46
/AnthonyMichaelTDM/DRG-Save-Editor/issues,15,11
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,13,10
/AnthonyMichaelTDM/DRG-Save-Editor/issues/107,8,8
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,6,6
/AnthonyMichaelTDM/DRG-Save-Editor/tree/v1.9.2,6,3
/AnthonyMichaelTDM/DRG-Save-Editor/discussions,5,3
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master,4,2
