referrer,views_total,views_unique
youtube.com,292,118
github.com,73,28
Google,52,15
DuckDuckGo,43,11
Bing,19,6
cn.bing.com,11,3
steamcommunity.com,6,2
uk.search.yahoo.com,6,1
yandex.ru,4,2
Yahoo,4,1
