url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,635,270
/AnthonyMichaelTDM/DRG-Save-Editor/issues,62,35
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.8.0,59,43
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,32,8
/AnthonyMichaelTDM/DRG-Save-Editor/issues/44,30,10
/AnthonyMichaelTDM/DRG-Save-Editor/releases,24,19
/AnthonyMichaelTDM/DRG-Save-Editor/issues/46,18,13
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/.github,17,6
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src,14,5
/AnthonyMichaelTDM/DRG-Save-Editor/issues/19,13,9
