url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,416,245
/AnthonyMichaelTDM/DRG-Save-Editor/releases,113,88
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,86,64
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,21,16
/AnthonyMichaelTDM/DRG-Save-Editor/issues,19,12
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,9,8
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/DRG%20Save%20Editing.txt,9,5
/AnthonyMichaelTDM/DRG-Save-Editor/branches,7,6
/AnthonyMichaelTDM/DRG-Save-Editor/pulls,5,4
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/.github,5,4
