url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,374,221
/AnthonyMichaelTDM/DRG-Save-Editor/releases,125,80
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,60,52
/AnthonyMichaelTDM/DRG-Save-Editor/issues,16,16
/AnthonyMichaelTDM/DRG-Save-Editor/issues/61,14,5
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,13,13
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src/main/python/core,8,3
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src,7,5
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src/main/python,7,4
/AnthonyMichaelTDM/DRG-Save-Editor/branches,5,5
