url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,484,294
/AnthonyMichaelTDM/DRG-Save-Editor/releases,154,118
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,74,60
/AnthonyMichaelTDM/DRG-Save-Editor/issues,37,23
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,25,21
/AnthonyMichaelTDM/DRG-Save-Editor/issues/107,12,11
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,10,9
/AnthonyMichaelTDM/DRG-Save-Editor/discussions,9,7
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/DRG%20Save%20Editing.txt,6,5
/AnthonyMichaelTDM/DRG-Save-Editor/issues/86,6,4
