referrer,views_total,views_unique
youtube.com,229,95
yandex.ru,26,15
github.com,15,7
Google,13,10
Bing,7,7
DuckDuckGo,5,2
libhunt.com,4,1
ph.search.yahoo.com,2,1
Yahoo,1,1
