url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,493,281
/AnthonyMichaelTDM/DRG-Save-Editor/releases,164,131
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,61,51
/AnthonyMichaelTDM/DRG-Save-Editor/issues,41,25
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,27,22
/AnthonyMichaelTDM/DRG-Save-Editor/issues/107,11,8
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,10,7
/AnthonyMichaelTDM/DRG-Save-Editor/discussions,8,7
/AnthonyMichaelTDM/DRG-Save-Editor/actions,7,6
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src/main/python/core,7,3
