time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-21 00:00:00+00:00,5,4,138,39
2024-02-22 00:00:00+00:00,7,6,145,31
2024-02-23 00:00:00+00:00,6,5,92,27
2024-02-24 00:00:00+00:00,4,4,78,30
2024-02-25 00:00:00+00:00,1,1,80,31
2024-02-26 00:00:00+00:00,5,4,198,28
2024-02-27 00:00:00+00:00,3,3,106,28
2024-02-28 00:00:00+00:00,5,3,82,24
2024-02-29 00:00:00+00:00,4,3,93,25
2024-03-01 00:00:00+00:00,5,5,121,42
2024-03-02 00:00:00+00:00,8,8,155,51
2024-03-03 00:00:00+00:00,6,6,155,64
2024-03-04 00:00:00+00:00,2,2,130,43
2024-03-05 00:00:00+00:00,3,3,65,33
