time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-18 00:00:00+00:00,6,5,86,26
2024-03-19 00:00:00+00:00,3,3,77,32
2024-03-20 00:00:00+00:00,4,4,72,36
2024-03-21 00:00:00+00:00,4,4,56,34
2024-03-22 00:00:00+00:00,1,1,33,16
2024-03-23 00:00:00+00:00,3,3,87,24
2024-03-24 00:00:00+00:00,6,4,65,37
2024-03-25 00:00:00+00:00,5,3,62,27
2024-03-26 00:00:00+00:00,5,5,49,21
2024-03-27 00:00:00+00:00,2,2,70,19
2024-03-28 00:00:00+00:00,3,3,69,29
2024-03-29 00:00:00+00:00,1,1,54,21
2024-03-30 00:00:00+00:00,3,3,113,22
2024-03-31 00:00:00+00:00,1,1,54,23
