url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,511,226
/AnthonyMichaelTDM/DRG-Save-Editor/issues,72,29
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.7.0,41,31
/AnthonyMichaelTDM/DRG-Save-Editor/find/master,32,27
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,15,10
/AnthonyMichaelTDM/DRG-Save-Editor/commit/a8c81a17521888bf44858cbd413f324dd930102c,13,11
/AnthonyMichaelTDM/DRG-Save-Editor/issues/19,13,10
/AnthonyMichaelTDM/DRG-Save-Editor/issues/12,10,6
/AnthonyMichaelTDM/DRG-Save-Editor/releases,9,9
/AnthonyMichaelTDM/DRG-Save-Editor/issues/21,8,2
