url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,485,278
/AnthonyMichaelTDM/DRG-Save-Editor/releases,126,95
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,59,50
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,25,18
/AnthonyMichaelTDM/DRG-Save-Editor/issues,18,16
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,12,9
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/DRG%20Save%20Editing.txt,9,6
/AnthonyMichaelTDM/DRG-Save-Editor/issues/104,9,6
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/.github,8,6
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/tests,8,4
