url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,439,283
/AnthonyMichaelTDM/DRG-Save-Editor/releases,136,110
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,75,55
/AnthonyMichaelTDM/DRG-Save-Editor/issues,30,20
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,27,19
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,9,9
/AnthonyMichaelTDM/DRG-Save-Editor/issues/107,7,6
/AnthonyMichaelTDM/DRG-Save-Editor/commit/25bb93692ac694c5d572d5ed5e598a1b1497b345,6,5
/AnthonyMichaelTDM/DRG-Save-Editor/issues/61,6,5
/AnthonyMichaelTDM/DRG-Save-Editor/issues/86,6,5
