referrer,views_total,views_unique
youtube.com,604,188
Google,204,45
github.com,192,30
DuckDuckGo,37,6
Bing,32,10
m.youtube.com,31,6
yandex.ru,19,14
StartPage,8,1
libhunt.com,2,2
ecosia.org,1,1
