url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,421,255
/AnthonyMichaelTDM/DRG-Save-Editor/releases,104,83
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.1,60,46
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,43,16
/AnthonyMichaelTDM/DRG-Save-Editor/issues,22,18
/AnthonyMichaelTDM/DRG-Save-Editor/commits/master,21,4
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src/main/python,21,3
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,19,6
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src,19,4
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src/main/python/core,18,3
