url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,703,329
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.8.0,77,53
/AnthonyMichaelTDM/DRG-Save-Editor/issues,48,36
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src,30,10
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/requirements.txt,19,7
/AnthonyMichaelTDM/DRG-Save-Editor/releases,18,14
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/src/main/python/main.py,17,3
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,16,8
/AnthonyMichaelTDM/DRG-Save-Editor/issues/44,14,9
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,14,3
