url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,365,130
/AnthonyMichaelTDM/DRG-Save-Editor/issues,42,22
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.7.0,34,21
/AnthonyMichaelTDM/DRG-Save-Editor/find/master,21,18
/AnthonyMichaelTDM/DRG-Save-Editor/issues/19,9,6
/AnthonyMichaelTDM/DRG-Save-Editor/pulls,6,3
/AnthonyMichaelTDM/DRG-Save-Editor/search,6,3
/AnthonyMichaelTDM/DRG-Save-Editor/issues/22,5,2
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,4,4
/AnthonyMichaelTDM/DRG-Save-Editor/discussions,4,4
