referrer,views_total,views_unique
github.com,975,140
youtube.com,833,257
Bing,40,9
Google,39,7
DuckDuckGo,14,3
away.vk.com,7,2
m.youtube.com,6,2
sys.4channel.org,2,1
t.co,1,1
search.brave.com,1,1
