url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,251,150
/AnthonyMichaelTDM/DRG-Save-Editor/releases,207,64
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.10.0,62,40
/AnthonyMichaelTDM/DRG-Save-Editor/issues,17,15
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,9,9
/AnthonyMichaelTDM/DRG-Save-Editor/issues/121,5,4
/AnthonyMichaelTDM/DRG-Save-Editor/pulls,4,4
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master/src,4,3
/AnthonyMichaelTDM/DRG-Save-Editor/issues/104,3,3
/AnthonyMichaelTDM/DRG-Save-Editor/issues/77,3,3
